Drivers,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Lap 6,Lap 7,Lap 8,Lap 9,Lap 10,Lap 11,Lap 12,Lap 13,Lap 14,Lap 15,Lap 16,Lap 17,Lap 18,Lap 19,Lap 20,Lap 21,Lap 22,Lap 23,Lap 24,Lap 25,Lap 26,Lap 27,Lap 28,Lap 29,Lap 30,Lap 31,Lap 32,Lap 33,Lap 34,Lap 35,Lap 36,Lap 37,Lap 38,Lap 39,Lap 40,Lap 41,Lap 42,Lap 43,Lap 44,Lap 45,Lap 46,Lap 47,Lap 48,Lap 49,Lap 50,Lap 51,Lap 52,Lap 53,Lap 54,Lap 55,Lap 56,Lap 57,Lap 58,Lap 59,Lap 60,Lap 61,Lap 62,Lap 63,Lap 64,Lap 65,Lap 66,Lap 67,Lap 68,Lap 69,Lap 70,Lap 71
leclerc,1:29.892,1:49.552,1:27.149,1:21.588,1:21.653,1:22.214,1:22.056,1:22.077,1:21.736,1:21.843,1:21.558,1:21.282,1:20.931,1:21.125,1:24.121,1:39.492,1:20.696,1:20.446,1:20.585,1:20.643,1:20.458,1:20.989,1:20.971,1:21.378,1:21.280,1:21.103,1:21.079,1:21.449,1:20.847,1:21.045,1:21.557,1:20.577,1:20.580,1:21.003,1:20.774,1:21.191,1:21.190,1:21.058,1:20.855,1:20.730,1:21.227,1:21.272,1:23.922,1:42.587,1:19.527,1:19.839,1:19.908,1:19.667,1:19.597,1:19.348,1:20.034,1:19.522,1:19.232,1:19.829,1:19.504,1:20.232,1:20.099,1:20.230,1:21.628,1:20.248,1:19.881,1:19.465,1:19.548,1:19.675,1:20.904,1:19.574,1:19.329,1:19.552,1:19.788,1:19.748,1:19.603
max_verstappen,1:43.698,1:44.980,1:25.440,1:23.747,1:50.984,1:42.317,1:20.601,1:21.145,1:21.117,1:21.546,1:21.402,1:21.112,1:21.603,1:21.424,1:23.652,1:22.532,1:22.977,1:23.751,1:21.881,1:21.447,1:22.199,1:24.875,1:21.815,1:21.814,1:20.732,1:21.249,1:21.573,1:20.766,1:21.525,1:24.052,1:21.085,1:20.790,1:20.862,1:21.025,1:21.105,1:21.302,1:21.274,1:20.895,1:21.121,1:21.371,1:21.613,1:21.849,1:21.081,1:21.402,1:21.443,1:20.590,1:20.817,1:20.476,1:20.849,1:20.625,1:20.828,1:20.778,1:20.832,1:20.610,1:20.711,1:21.094,1:20.699,1:20.602,1:20.698,1:20.464,1:20.711,1:21.032,1:20.501,1:20.973,1:20.406,1:20.759,1:20.914,1:21.158,1:21.345,1:21.583,1:21.482
norris,1:41.168,1:46.104,1:25.754,1:23.511,1:23.304,1:24.737,1:23.716,1:23.271,1:23.546,1:23.523,1:23.831,1:26.894,3:24.844,1:23.108,1:22.648,1:22.537,1:22.709,1:22.410,1:22.178,1:22.861,1:23.524,1:22.382,1:22.863,1:24.480,1:22.665,1:22.629,1:25.267,1:22.585,1:22.472,1:24.350,1:22.833,1:25.139,1:22.424,1:22.728,1:24.636,1:26.782,1:22.255,1:22.309,1:22.184,1:24.890,1:22.280,1:22.157,1:24.070,1:21.846,1:21.935,1:21.643,1:21.721,1:29.089,,,,,,,,,,,,,,,,,,,,,,,
perez,1:47.707,1:44.995,1:24.598,1:23.493,1:23.884,1:23.042,1:22.994,1:23.162,1:24.019,1:23.026,1:22.699,1:23.343,1:22.211,1:22.653,1:24.690,1:22.973,1:22.563,1:22.334,1:22.163,1:25.377,1:40.912,1:21.737,1:21.758,1:21.874,1:21.570,1:21.845,1:21.565,1:21.760,1:21.684,1:21.496,1:21.566,1:21.897,1:22.022,1:22.225,1:22.226,1:22.123,1:22.163,1:21.982,1:21.815,1:21.820,1:21.695,1:24.151,1:21.874,1:21.900,1:21.419,1:21.637,1:21.281,1:21.032,1:21.034,1:20.964,1:21.294,1:20.855,1:20.925,1:20.817,1:20.938,1:20.817,1:20.837,1:20.771,1:20.593,1:20.708,1:21.625,1:21.002,1:20.926,1:20.836,1:20.681,1:20.759,1:20.946,1:20.782,1:20.684,1:20.485,1:20.489
raikkonen,1:52.968,1:44.386,1:23.490,1:23.478,1:24.411,1:23.989,1:23.886,1:23.735,1:23.458,1:23.053,1:23.362,1:23.276,1:23.177,1:23.332,1:26.595,1:42.035,1:23.719,1:23.699,1:23.431,1:22.440,1:22.189,1:23.651,1:21.406,1:22.259,1:22.280,1:22.242,1:22.302,1:22.408,1:22.036,1:22.613,1:22.081,1:22.388,1:22.600,1:25.565,1:26.513,1:21.967,1:23.654,1:21.871,1:21.969,1:21.939,1:21.553,1:21.326,1:21.379,1:21.582,1:22.004,1:24.075,1:24.762,1:21.849,1:21.401,1:23.654,1:21.971,1:24.490,1:40.733,1:20.336,1:20.082,1:20.556,1:21.067,1:26.612,,,,,,,,,,,,,
ricciardo,1:48.810,1:44.787,1:24.370,1:23.570,1:24.536,1:23.377,1:23.346,1:23.522,1:23.355,1:23.507,1:22.365,1:22.874,1:22.374,1:22.617,1:23.879,1:22.916,1:22.912,1:22.439,1:22.868,1:22.827,1:22.458,1:22.244,1:22.160,1:22.065,1:22.207,1:22.114,1:21.937,1:21.997,1:21.995,1:22.017,1:21.930,1:21.860,1:22.244,1:22.723,1:22.343,1:22.926,1:21.686,1:21.655,1:21.735,1:21.555,1:21.522,1:21.283,1:21.261,1:21.370,1:21.283,1:21.438,1:21.198,1:21.632,1:21.506,1:24.808,1:40.436,1:20.316,1:20.146,1:20.350,1:20.324,1:20.291,1:20.267,1:20.386,1:20.613,1:20.614,1:22.655,1:21.073,1:20.516,1:20.550,1:20.469,1:20.596,1:21.012,1:20.811,1:20.543,1:20.650,1:20.807
russell,1:55.037,1:45.044,1:25.452,1:24.679,1:25.993,1:24.069,1:24.487,1:24.278,1:24.100,1:24.208,1:24.241,1:24.388,1:24.220,1:24.175,1:25.064,1:25.115,1:26.429,1:24.703,1:25.501,1:24.358,1:24.233,1:27.063,1:44.636,1:26.191,1:23.400,1:23.672,1:23.766,1:23.788,1:23.422,1:23.703,1:23.553,1:23.559,1:23.964,1:24.911,1:23.063,1:23.237,1:23.162,1:23.541,1:23.627,1:23.554,1:23.124,1:22.765,1:25.147,1:24.756,1:22.588,1:22.894,1:22.210,1:22.665,1:24.517,1:23.860,1:24.996,1:24.207,1:24.069,1:23.569,1:22.126,1:22.612,1:24.446,1:23.100,1:22.590,1:22.841,1:26.814,1:22.450,1:22.183,1:21.928,1:21.853,1:21.631,1:21.545,1:21.737,1:21.286,,
sainz,1:36.038,1:47.712,1:27.226,1:23.618,1:23.237,1:23.482,1:23.759,1:24.474,1:23.679,1:23.588,1:23.449,1:23.155,1:23.257,1:23.465,1:28.492,1:43.871,1:22.177,1:22.377,1:22.113,1:23.421,1:21.996,1:22.554,1:22.298,1:22.538,1:22.490,1:22.277,1:22.301,1:21.890,1:22.418,1:26.314,1:23.874,1:22.808,1:23.396,1:25.181,1:30.541,1:40.003,1:23.226,1:21.629,1:21.437,1:21.292,1:21.013,1:21.042,1:21.075,1:21.128,1:20.983,1:23.040,1:21.123,1:21.284,1:21.221,1:21.194,1:23.610,1:21.249,1:20.925,1:21.011,1:20.801,1:20.518,1:20.605,1:20.623,1:20.738,1:21.081,1:21.481,1:21.573,1:20.600,1:20.410,1:20.420,1:20.311,1:20.424,1:20.578,1:20.577,1:20.540,
stroll,1:50.337,1:44.970,1:23.980,1:23.665,1:24.690,1:23.657,1:23.545,1:23.888,1:23.585,1:23.071,1:23.301,1:23.220,1:22.980,1:22.913,1:23.107,1:23.223,1:22.977,1:22.859,1:22.671,1:22.603,1:22.651,1:22.957,1:23.003,1:22.249,1:22.421,1:22.404,1:22.663,1:22.115,1:22.087,1:22.119,1:22.145,1:22.230,1:22.386,1:22.197,1:22.172,1:23.514,1:25.458,1:40.496,1:21.237,1:21.616,1:21.507,1:21.615,1:21.177,1:21.235,1:21.324,1:21.761,1:21.785,1:21.451,1:21.808,1:21.844,1:22.596,1:21.990,1:21.177,1:21.412,1:22.050,1:21.221,1:23.252,1:24.111,1:23.505,1:24.809,1:21.444,1:22.903,1:21.609,1:22.915,1:21.118,1:21.065,1:21.439,1:20.922,1:21.183,1:21.625,
vettel,1:32.867,1:48.225,1:26.856,1:21.572,1:21.910,1:21.971,1:22.373,1:21.637,1:21.845,1:21.767,1:21.977,1:21.479,1:20.978,1:21.568,1:21.270,1:21.207,1:21.482,1:21.116,1:21.218,1:21.109,1:21.253,1:21.322,1:21.594,1:22.197,1:21.774,1:21.160,1:21.534,1:21.231,1:21.300,1:21.082,1:21.173,1:21.181,1:21.328,1:21.837,1:22.345,1:23.435,1:24.894,1:39.411,1:19.817,1:20.537,1:20.788,1:20.488,1:20.343,1:20.608,1:20.553,1:20.544,1:20.511,1:20.184,1:20.176,1:20.173,1:20.419,1:20.108,1:20.193,1:20.904,1:20.746,1:20.394,1:21.014,1:20.882,1:20.201,1:19.555,1:19.816,1:19.846,1:19.730,1:20.116,1:19.680,1:19.400,1:19.570,1:19.381,1:19.897,1:19.565,1:20.053
